"","Coefficient","Exp(Coefficient)","Std. Error","p","Significance"
"course_subject.1Chemistry",-0.665,0.514,0.093,0,"***"
"course_subject.1English",-0.164,0.848,0.089,0.065,"."
"course_subject.1Estonian Language",0.111,1.117,0.089,0.212," "
"course_subject.1History",0.201,1.223,0.096,0.035,"*"
"course_subject.1Literature",0.416,1.516,0.091,0,"***"
"course_subject.1Mathematics",-0.93,0.395,0.09,0,"***"
"course_subject.1Physical Education",1.736,5.672,0.096,0,"***"
"course_subject.1Physics",-0.826,0.438,0.094,0,"***"
"course_subject.1Russian Language",-0.748,0.473,0.094,0,"***"
"gender1",0.382,1.466,0.041,0,"***"
"total_abs",0,1,0,0.101," "
"institution_id523",-0.195,0.823,0.055,0,"***"
"institution_id524",0.13,1.139,0.048,0.007,"**"
"1|2",-12.669,0,0.007,0,"***"
"2|3",-6.581,0.001,0.277,0,"***"
"3|4",-0.999,0.368,0.077,0,"***"
"4|5",1.442,4.23,0.078,0,"***"
