"","Value","p value",""
"course_subject.1Biology","-1.8438","0","***"
"course_subject.1Chemistry","-2.4507","0","***"
"course_subject.1Computer Training","-1.6242","0","***"
"course_subject.1English","-2.04","0","***"
"course_subject.1Estonian Language","-1.8062","0","***"
"course_subject.1Geography","-1.6558","0","***"
"course_subject.1History","-1.7317","0","***"
"course_subject.1Human History","-2.5544","0","***"
"course_subject.1Human Studies","-2.5559","0","***"
"course_subject.1Informatics","-1.3727","0","***"
"course_subject.1Literature","-1.5911","0","***"
"course_subject.1Mathematics","-2.554","0","***"
"course_subject.1Music","-0.9717","0","***"
"course_subject.1Physical Education","-0.2008","0.0219","*"
"course_subject.1Physics","-2.2676","0","***"
"course_subject.1Russian Language","-2.455","0","***"
"course_subject.1Technology, Craft and Homework","-0.2983","0.0157","*"
"course_subject.1Work Instruction","-0.0623","0.5706"," "
"gender1","0.6301","0","***"
"total_abs","-5e-04","0","***"
"1|2","-8.356","0","***"
"2|3","-6.8563","0","***"
"3|4","-2.4018","0","***"
"4|5","-0.2247","0.0029","**"
